czas,h2pz_10011,h2pz_10021,h2pz_10121,h2pz_10131,h2pz_10318,h2pz_10338,h2pz_10358,h2pz_10378,h2pz_10398,h2pz_10401,h2pz_10402,h2pz_10438,h2pz_10441,h2pz_10442
2022-01-31 00:00:00+01:00,1948.629563937717,1976.3372575887045,0.529670000076294,0.5318679809570312,32.770869422488744,35.758567830191716,0.006003250150630871,29.950916324191624,0.0,0.26048001150290173,90.13074979570177,323.9219100189209,90.51490362167358,90.13074979570177
2022-01-31 01:00:00+01:00,1949.7924453057183,1977.6637520345053,0.529670000076294,0.5318679809570312,32.621910632451375,35.49655445946588,0.004480391779086656,29.83971360153622,0.0,0.2604189614827434,90.29424266815185,324.83611401028105,90.67349751578438,90.29424266815185
2022-01-31 02:00:00+01:00,1949.8666814507378,1977.4600888739692,0.529670000076294,0.5318679809570312,32.44586619695028,35.2742780134413,0.0059422001490990325,29.680868151982626,0.0,0.2600119613483548,90.27363850063747,324.60408331129287,90.65832321166992,90.27363850063747
2022-01-31 03:00:00+01:00,1950.1143005032009,1976.1643650309245,0.529670000076294,0.5318679809570312,32.42538378397624,35.176984561284385,0.0058031418122765095,29.63271664884355,0.0,0.26060889487879146,90.27184331681994,324.2763256920708,90.64817493226793,90.27184331681994
2022-01-31 04:00:00+01:00,1948.6920787896051,1976.8759631008572,0.529670000076294,0.5318679809570312,32.32639107545217,35.18757001135084,0.006230491822999384,29.508296559121874,0.0,0.2604189614827434,90.16864512125652,323.93574836730954,90.55351347817314,90.16864512125652
2022-01-31 05:00:00+01:00,1948.4039220174154,1975.4276125420465,0.529670000076294,0.5318679809570312,32.188977519141304,35.24082605361939,0.00600664181738264,29.393437662654453,0.0,0.2598491612945994,90.1637590959337,324.13399804857045,90.55415787590874,90.1637590959337
2022-01-31 06:00:00+01:00,1946.8715677218968,1974.4259043714735,0.529670000076294,0.5318679809570312,32.39503505706787,35.27108311547173,0.005945591815850801,29.555851186116538,0.0,0.26023581142226854,90.08190091027154,324.3991999308268,90.47020130581326,90.08190091027154
2022-01-31 07:00:00+01:00,1947.0141806030274,1973.617846544054,0.529670000076294,0.5318679809570312,32.43502277374267,35.336457550260754,0.005745483477496438,29.60581387148963,0.0,0.2595099945159422,90.06030018700494,324.16236570570203,90.44188758850098,90.06030018700494
2022-01-31 08:00:00+01:00,1947.449101087782,1973.8986768934462,0.529670000076294,0.5318679809570312,32.66002610206604,35.10127910719977,0.006105000153183937,29.821646209292943,0.0,0.2595371278582348,90.01079738616943,324.0043688371446,90.398081296285,90.01079738616943
2022-01-31 09:00:00+01:00,1949.6957412380643,1975.9560617743598,0.529670000076294,0.5318679809570312,32.5271780151791,35.50236446274651,0.00683760017156601,29.70869685120053,0.0,0.25926579443530906,90.14963755713569,325.72069090101456,90.53530695173475,90.14963755713569
2022-01-31 10:00:00+01:00,1908.0263896687825,1935.6146688842773,0.5297143516275618,0.53191596435176,32.19076500998603,35.44935943921407,0.006016816817637947,29.702201803525288,0.0,0.26010014471080567,88.6300515323215,313.7071357981364,89.00958565606011,88.6300515323215
2022-01-31 11:00:00+01:00,1898.3990341864692,1927.0251701185439,0.5298845993147956,0.5313702942430973,31.35049238204956,35.42546173201667,0.006403466827339596,29.757611555523344,0.0,0.2615517785234584,91.10604565090603,331.5515397220188,91.49193615171644,91.10604565090603
2022-01-31 12:00:00+01:00,1890.1450692749024,1919.390251227485,0.5297662998073631,0.5317903711729579,31.316300961706375,35.30209989229838,0.005358833467794789,29.715202074050904,0.0,0.2618570286242498,90.58787957509358,326.51967190212673,90.9713903257582,90.58787957509358
2022-01-31 13:00:00+01:00,1887.7333488294814,1916.2964806111654,0.5294288286566734,0.5311976917915874,31.242142111460367,35.051394408543906,0.0056505168084469105,29.645130121972826,0.0,0.26182311194638413,90.37083892398411,326.04344082302515,90.74865812513563,90.37083892398411
2022-01-31 14:00:00+01:00,1888.6903685167101,1916.1665650770399,0.5300076354212231,0.5315210461947653,31.414774674839443,35.27951142205132,0.0059761168166167205,29.796646229955886,0.0,0.26081239494598574,90.46250743442111,326.70953765869143,90.85088406032986,90.46250743442111
2022-01-31 15:00:00+01:00,1887.7480009629992,1916.1917180379232,0.5294514950613181,0.5311839189132055,31.240242767863805,35.110188988579644,0.005932025148843725,29.649810627301534,0.0,0.2618027619396647,90.4043324746026,325.7013561248779,90.77891886181301,90.4043324746026
2022-01-31 16:00:00+01:00,1889.9011134847005,1918.5704722425673,0.5294530536234379,0.5311563898954127,31.2377837700314,35.19728369500902,0.006250841823509998,29.629525061713323,0.0,0.2622708120942116,90.55424191792805,326.4435223134359,90.9340550910102,90.55424191792805
2022-01-31 17:00:00+01:00,1892.44152730306,1920.7223622639974,0.5294491875006093,0.531196863287025,31.245557511117724,35.13315060933431,0.0064679084956232044,29.649929337501526,0.0,0.2622233287451996,90.74674486372206,328.01027059766983,91.13398693296645,90.74674486372206
2022-01-31 18:00:00+01:00,1891.6366431003146,1920.0603363715277,0.5294283536573251,0.5311834493941731,31.192878068288167,35.17835483233134,0.006403466827339596,29.583988472090827,0.0,0.26249466216812534,90.68061709509955,328.1420972442627,91.06582199520535,90.68061709509955
2022-01-31 19:00:00+01:00,1892.2100262112087,1920.2398233371312,0.5294259786605835,0.5312014896670977,31.324210351838005,35.17588908089532,0.006800291837296552,29.696829352378845,0.0,0.26246752882583274,90.70662332322863,328.7012746090359,91.09269746144612,90.70662332322863
